zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
78886,29.13463,-99.16072,Yancey,TX,Texas,TRUE,,647,2.5,48325,Medina,"{'48163':2.94,'48325':97.06}",FALSE,FALSE,America/Chicago
78931,30.02924,-96.44481,Bleiblerville,TX,Texas,TRUE,,323,7.3,48015,Austin,{'48015':100},FALSE,FALSE,America/Chicago
78932,30.16565,-96.70635,Carmine,TX,Texas,TRUE,,757,5.4,48149,Fayette,"{'48149':67.77,'48477':32.23}",FALSE,FALSE,America/Chicago
78933,29.79539,-96.35761,Cat Spring,TX,Texas,TRUE,,1433,5.1,48089,Colorado,"{'48015':49.34,'48089':50.66}",FALSE,FALSE,America/Chicago
78934,29.69375,-96.56013,Columbus,TX,Texas,TRUE,,6712,13.5,48089,Colorado,{'48089':100},FALSE,FALSE,America/Chicago
78935,29.69035,-96.43037,Alleyton,TX,Texas,TRUE,,978,5.5,48089,Colorado,{'48089':100},FALSE,FALSE,America/Chicago
78938,29.80211,-96.69061,Ellinger,TX,Texas,TRUE,,471,8.3,48149,Fayette,"{'48089':19.32,'48149':80.68}",FALSE,FALSE,America/Chicago
78940,29.93148,-96.66018,Fayetteville,TX,Texas,TRUE,,2098,6,48015,Austin,"{'48015':8.39,'48089':12.68,'48149':78.93}",FALSE,FALSE,America/Chicago
78941,29.74273,-97.15231,Flatonia,TX,Texas,TRUE,,2962,7.3,48149,Fayette,"{'48021':2.9,'48149':94.26,'48177':2.84}",FALSE,FALSE,America/Chicago
78942,30.16902,-96.92221,Giddings,TX,Texas,TRUE,,8989,16.9,48287,Lee,"{'48021':0.37,'48149':1.65,'48287':97.99}",FALSE,FALSE,America/Chicago
